sweep,J_K,J_I,tag,dWp_dt,I_peak,I_fft_w0,I_fft_2w0
J_K,0.02,0.0025,AFM_jK0.02_theta_env0-5.2_kondo0.2_T10_scan,-6.508735890872955e-10,7.510950995366749e-06,8.620285208756725e-06,2.2127636790753965e-09
J_K,0.04,0.0025,AFM_jK0.04_theta_env0-5.2_kondo0.2_T10_scan,1.35581013874623e-10,1.513981340405628e-05,3.501927414453237e-05,1.3628685447917507e-08
J_K,0.06,0.0025,AFM_jK0.06_theta_env0-5.2_kondo0.2_T10_scan,1.434229971522633e-09,2.3008675023181103e-05,8.085923443365109e-05,7.541106322409314e-09
J_K,0.08,0.0025,AFM_jK0.08_theta_env0-5.2_kondo0.2_T10_scan,-1.411330194295216e-09,3.12694843784725e-05,0.00014722498301020546,1.0084185415864729e-09
J_K,0.09,0.0025,AFM_jK0.09_theta_env0-5.2_kondo0.2_T10_scan,4.568881638371146e-08,3.560060359293796e-05,0.00017126938998900538,5.283125132929036e-10
J_K,0.1,0.0025,AFM_jK0.10_theta_env0-5.2_kondo0.2_T10_scan,-1.7886032530768527e-06,4.0090093613518634e-05,0.00039960648772679476,2.0286538368984174e-09
J_K,0.11,0.0025,AFM_jK0.11_theta_env0-5.2_kondo0.2_T10_scan,-6.543466823587635e-05,4.476108015807257e-05,0.00037986342197062384,3.4235364068515644e-05
J_K,0.12,0.0025,AFM_jK0.12_theta_env0-5.2_kondo0.2_T10_scan,-0.00013736786950285595,5.786727335858683e-05,0.0011109434396319544,0.00016803283507393443
J_I,0.02,0.001,AFM_jK0.02_jI0.001_theta_env0-5.2_kondo0.2_T10_scan,1.06482325755601e-10,3.052901289860465e-06,1.2958617839147563e-06,4.744243831936881e-10
J_I,0.02,0.0025,AFM_jK0.02_theta_env0-5.2_kondo0.2_T10_scan,-6.508735890872955e-10,7.510950995366749e-06,8.620285208756725e-06,2.2127636790753965e-09
J_I,0.02,0.005,AFM_jK0.02_jI0.005_theta_env0-5.2_kondo0.2_T10_scan,-2.3022095879869834e-08,1.4570494328938786e-05,3.744287537176872e-05,7.93021594004348e-09
J_I,0.02,0.0075,AFM_jK0.02_jI0.0075_theta_env0-5.2_kondo0.2_T10_scan,-1.8504285067284394e-07,2.1872333923315705e-05,8.957909772527362e-05,4.529386905083316e-09
J_I,0.02,0.01,AFM_jK0.02_jI0.01_theta_env0-5.2_kondo0.2_T10_scan,-5.999111209146392e-07,2.8913212665326514e-05,0.0001687259600712083,3.0042357175197423e-09
J_I,0.02,0.02,AFM_jK0.02_jI0.02_theta_env0-5.2_kondo0.2_T10_scan,-2.297563000124366e-05,4.996317689492595e-05,0.0005625163866342447,5.383660810816733e-07
